Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00104,7.15823,7.11208,7.27031,7.06593,7.39557,Y,Y,N,N,0.00023,0,N,N,1,24
LOGZ,ECO00104,8.26219,8.17648,8.38745,8.10396,8.59183,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00105,7.38898,7.33623,7.46809,7.27031,7.54721,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00105,8.26219,8.17648,8.31493,8.09737,8.41382,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00107,7.23734,7.17801,7.39557,7.11208,7.51424,Y,Y,N,N,0.00003,0,N,N,1,36
LOGZ,ECO00107,8.28856,8.249,8.49953,8.17648,8.65117,Y,Y,N,N,0,0,N,N,1,141
LOGQ,ECO00108,7.58017,7.52743,7.71203,7.46809,7.80433,Y,Y,N,N,0,0,N,N,2,88
LOGZ,ECO00108,8.26219,8.19626,8.35449,8.12374,8.46657,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00109,7.34942,7.22416,7.46809,7.13845,7.60654,Y,Y,N,N,0.00002,0,N,N,2,53
LOGZ,ECO00109,8.30175,8.2556,8.49953,8.16989,8.63798,Y,Y,N,N,0,0,N,N,1,143
LOGQ,ECO00111,7.2769,7.22416,7.42194,7.15823,7.56039,Y,Y,N,N,0,0,N,N,2,42
LOGZ,ECO00111,8.11715,8.03803,8.26878,7.94573,8.46657,Y,Y,N,N,0,0,N,N,1,115
LOGQ,ECO00112,7.79773,7.7384,7.86366,7.67906,7.94278,Y,Y,N,N,0,0,N,N,1,121
LOGZ,ECO00112,8.26219,8.18967,8.28197,8.12374,8.32152,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00113,7.36261,7.29008,7.48128,7.21756,7.61313,Y,Y,N,N,0,0,N,N,1,55
LOGZ,ECO00113,8.26219,8.19626,8.40723,8.12374,8.57865,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00114,7.35601,7.26371,7.48787,7.19119,7.62632,Y,Y,N,N,0,0,N,N,1,54
LOGZ,ECO00114,8.27537,8.23582,8.47975,8.1567,8.63798,Y,Y,N,N,0,0,N,N,1,139
LOGQ,ECO00115,7.38898,7.29008,7.48128,7.19779,7.57358,Y,Y,N,N,0,0,N,N,1,59
LOGZ,ECO00115,8.50612,8.41382,8.6182,8.33471,8.69072,Y,Y,N,N,0,0,N,N,1,174
LOGQ,ECO00116,7.19119,7.14504,7.27031,7.10549,7.37579,Y,Y,N,N,0,0,N,N,1,29
LOGZ,ECO00116,8.26219,8.24241,8.39405,8.18967,8.5325,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00117,7.35601,7.28349,7.44172,7.21756,7.52083,Y,Y,N,N,0,0,N,N,1,54
LOGZ,ECO00117,8.32152,8.26878,8.44679,8.20285,8.55887,Y,Y,N,N,0,0,N,N,1,146
LOGQ,ECO00119,7.67906,7.59995,7.77136,7.53402,7.85048,Y,Y,N,N,0,0,N,N,1,103
LOGZ,ECO00119,8.26219,8.20945,8.36108,8.13692,8.47316,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00120,7.48787,7.43513,7.57358,7.38238,7.67247,Y,Y,N,N,0,0,N,N,1,74
LOGZ,ECO00120,8.26219,8.21604,8.36767,8.1567,8.47975,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00121,7.3692,7.29668,7.47468,7.22416,7.58676,Y,Y,N,N,0,0,N,N,1,56
