Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGZ,ECO07270,-0.51635,-0.58174,-0.35287,-0.67982,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07272,6.97700,-inf,7.15557,-inf,7.33414,Y,Y,Y,N,0.50687,0.00000,Y,N,1,0
LOGZ,ECO07272,-0.25479,-0.35287,-0.05862,-0.45096,0.07216,Y,Y,N,N,0.00000,0.00021,N,N,1,32
LOGQ,ECO07279,7.40557,7.33414,7.58414,7.26271,7.76271,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO07279,-0.61443,-0.71252,-0.41826,-0.77791,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO07280,7.04843,7.01271,7.26271,-inf,7.40557,Y,Y,Y,N,0.23922,0.00000,N,N,1,2
LOGZ,ECO07280,-0.35287,-0.45096,-0.15670,-0.51635,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO07284,7.11986,7.04843,7.26271,-inf,7.40557,Y,Y,N,N,0.11445,0.00000,N,N,1,4
LOGZ,ECO07284,-0.51635,-0.58174,-0.32018,-0.64713,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07294,7.36986,7.19129,7.61986,7.01271,7.79843,Y,Y,N,N,0.02942,0.00000,N,N,1,11
LOGZ,ECO07294,0.26833,0.13755,inf,-0.05862,inf,Y,Y,N,Y,0.00000,0.47082,N,N,1,48
LOGQ,ECO07299,7.36986,7.29843,7.65557,7.22700,7.83414,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO07299,-0.54904,-0.61443,-0.28748,-0.71252,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO07308,6.97700,-inf,7.19129,-inf,7.33414,Y,Y,Y,N,0.46962,0.00000,N,N,1,0
LOGZ,ECO07308,-0.38557,-0.48365,-0.18940,-0.54904,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO07310,7.19129,7.04843,7.40557,-inf,7.65557,Y,Y,N,N,0.10391,0.00000,N,N,1,6
LOGZ,ECO07310,0.20294,0.00677,0.23564,-0.25479,inf,Y,Y,N,Y,0.00000,0.14648,N,N,1,46
LOGQ,ECO07316,7.08414,7.01271,7.26271,-inf,7.40557,Y,Y,N,N,0.19490,0.00000,N,N,1,3
LOGZ,ECO07316,-0.45096,-0.54904,-0.28748,-0.61443,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07317,7.26271,7.15557,7.54843,7.08414,7.76271,Y,Y,N,N,0.00113,0.00000,N,N,1,8
LOGZ,ECO07317,-0.54904,-0.61443,-0.28748,-0.67982,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO07326,7.15557,7.04843,7.51271,-inf,7.72700,Y,Y,N,N,0.12238,0.00000,N,N,2,5
LOGZ,ECO07326,0.23564,-0.09131,0.23564,-0.28748,inf,Y,Y,N,Y,0.00000,0.14356,N,N,2,47
LOGQ,ECO07331,7.19129,7.11986,7.33414,7.08414,7.44129,Y,Y,N,N,0.00311,0.00000,N,N,1,6
LOGZ,ECO07331,-0.48365,-0.58174,-0.35287,-0.64713,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO07332,7.08414,7.01271,7.29843,-inf,7.44129,Y,Y,N,N,0.20784,0.00000,N,N,1,3
LOGZ,ECO07332,-0.35287,-0.45096,-0.15670,-0.51635,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,ECO07337,7.47700,7.40557,7.65557,7.33414,7.83414,Y,Y,N,N,0.00000,0.00000,N,N,1,14
LOGZ,ECO07337,-0.67982,-0.77791,-0.48365,-0.84330,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGQ,ECO07341,7.22700,7.11986,7.36986,7.08414,7.51271,Y,Y,N,N,0.00292,0.00000,N,N,1,7
LOGZ,ECO07341,-0.51635,-0.61443,-0.35287,-0.67982,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO07343,6.97700,7.01271,7.40557,-inf,7.54843,N,Y,Y,N,0.19276,0.00000,N,N,2,0
LOGZ,ECO07343,0.03947,-0.32018,0.10486,-0.45096,0.17025,Y,Y,N,N,0.00000,0.00006,N,N,2,41
LOGQ,ECO07346,7.04843,7.01271,7.26271,-inf,7.44129,Y,Y,Y,N,0.25242,0.00000,N,N,1,2
LOGZ,ECO07346,-0.48365,-0.54904,-0.25479,-0.64713,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO07348,7.36986,7.29843,7.51271,7.22700,7.65557,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO07348,-0.71252,-0.77791,-0.51635,-0.87599,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO07351,7.08414,7.01271,7.26271,-inf,7.44129,Y,Y,N,N,0.16577,0.00000,N,N,1,3
LOGZ,ECO07351,-0.45096,-0.54904,-0.25479,-0.64713,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO07352,7.08414,7.01271,7.22700,-inf,7.36986,Y,Y,N,N,0.17954,0.00000,N,N,1,3
LOGZ,ECO07352,-0.61443,-0.67982,-0.45096,-0.77791,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO07354,7.26271,7.19129,7.51271,7.11986,7.65557,Y,Y,N,N,0.00043,0.00000,N,N,1,8
LOGZ,ECO07354,-0.48365,-0.54904,-0.25479,-0.64713,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,25
