Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO11533,7.40557,7.19129,7.54843,7.01271,7.65557,Y,Y,N,N,0.02988,0.00000,N,N,2,12
LOGZ,ECO11533,0.13755,0.00677,0.17025,-0.18940,0.23564,Y,Y,N,N,0.00000,0.00324,N,N,1,44
LOGQ,ECO11551,7.54843,7.33414,7.72700,7.11986,7.86986,Y,Y,N,N,0.00949,0.00000,N,N,2,16
LOGZ,ECO11551,0.20294,0.10486,0.26833,-0.02592,inf,Y,Y,N,Y,0.00000,0.19658,N,N,1,46
LOGQ,ECO11552,7.04843,7.01271,7.22700,-inf,7.33414,Y,Y,Y,N,0.30689,0.00000,N,N,1,2
LOGZ,ECO11552,-0.32018,-0.41826,-0.18940,-0.48365,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO11557,7.08414,7.01271,7.29843,-inf,7.47700,Y,Y,N,N,0.18807,0.00000,N,N,1,3
LOGZ,ECO11557,-0.45096,-0.54904,-0.22209,-0.61443,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO11559,6.97700,7.01271,7.36986,-inf,7.54843,N,Y,Y,N,0.18877,0.00000,N,N,2,0
LOGZ,ECO11559,0.03947,-0.15670,0.13755,-0.32018,0.20294,Y,Y,N,N,0.00000,0.00607,N,N,1,41
LOGQ,ECO11561,7.22700,7.15557,7.69129,7.04843,7.83414,Y,Y,N,N,0.00784,0.00000,N,N,2,7
LOGZ,ECO11561,-0.54904,-0.58174,-0.12401,-0.67982,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,2,23
LOGQ,ECO11563,7.01271,7.01271,7.33414,-inf,7.51271,Y,Y,Y,N,0.26336,0.00000,N,N,1,1
LOGZ,ECO11563,-0.45096,-0.51635,-0.18940,-0.61443,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO11565,7.22700,7.19129,7.69129,7.08414,7.86986,Y,Y,N,N,0.00150,0.00000,N,N,2,7
LOGZ,ECO11565,-0.54904,-0.58174,-0.15670,-0.67982,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,2,23
LOGQ,ECO11580,7.22700,7.08414,7.40557,-inf,7.58414,Y,Y,N,N,0.09655,0.00000,N,N,2,7
LOGZ,ECO11580,0.03947,-0.09131,0.13755,-0.25479,0.20294,Y,Y,N,N,0.00000,0.00129,N,N,1,41
LOGQ,ECO11591,7.26271,7.04843,7.36986,-inf,7.51271,Y,Y,N,N,0.14657,0.00000,N,N,2,8
LOGZ,ECO11591,-0.02592,-0.22209,0.07216,-0.35287,0.13755,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,ECO11592,7.19129,7.04843,7.54843,-inf,7.76271,Y,Y,N,N,0.11005,0.00000,N,N,2,6
LOGZ,ECO11592,0.07216,-0.05862,0.20294,-0.25479,0.26833,Y,Y,N,N,0.00000,0.04261,N,N,1,42
LOGQ,ECO11595,7.26271,7.11986,7.65557,-inf,7.86986,Y,Y,N,N,0.05700,0.00000,N,N,1,8
LOGZ,ECO11595,0.10486,-0.05862,0.20294,-0.22209,0.26833,Y,Y,N,N,0.00000,0.04737,N,N,1,43
LOGQ,ECO11597,7.08414,7.01271,7.19129,-inf,7.29843,Y,Y,N,N,0.21014,0.00000,N,N,1,3
LOGZ,ECO11597,-0.15670,-0.18940,-0.09131,-0.25479,-0.02592,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,ECO11598,7.01271,7.01271,7.26271,-inf,7.44129,Y,Y,Y,N,0.27625,0.00000,N,N,1,1
LOGZ,ECO11598,-0.32018,-0.41826,-0.12401,-0.48365,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,ECO11599,7.29843,7.19129,7.47700,7.11986,7.65557,Y,Y,N,N,0.00006,0.00000,N,N,1,9
LOGZ,ECO11599,-0.54904,-0.61443,-0.32018,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO11606,7.08414,7.01271,7.19129,-inf,7.29843,Y,Y,N,N,0.18775,0.00000,N,N,1,3
LOGZ,ECO11606,-0.15670,-0.22209,-0.09131,-0.28748,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,ECO11607,7.11986,7.04843,7.33414,-inf,7.47700,Y,Y,N,N,0.12338,0.00000,N,N,1,4
LOGZ,ECO11607,-0.15670,-0.25479,-0.09131,-0.32018,0.00677,Y,Y,N,N,0.00000,0.00004,N,N,1,35
LOGQ,ECO11611,6.97700,7.01271,7.44129,-inf,7.61986,N,Y,Y,N,0.27422,0.00000,N,N,2,0
LOGZ,ECO11611,-0.48365,-0.51635,-0.05862,-0.61443,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,25
LOGQ,ECO11612,7.11986,7.01271,7.29843,-inf,7.47700,Y,Y,N,N,0.17381,0.00000,N,N,1,4
LOGZ,ECO11612,0.07216,-0.05862,0.13755,-0.35287,0.17025,Y,Y,N,N,0.00000,0.00019,N,N,1,42
LOGQ,ECO11617,7.08414,7.04843,7.29843,-inf,7.47700,Y,Y,N,N,0.14113,0.00000,N,N,1,3
LOGZ,ECO11617,-0.48365,-0.58174,-0.28748,-0.64713,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO11620,6.97700,7.01271,7.40557,-inf,7.58414,N,Y,Y,N,0.20314,0.00000,N,N,2,0
LOGZ,ECO11620,-0.02592,-0.32018,0.07216,-0.45096,0.13755,Y,Y,N,N,0.00000,0.00007,N,N,1,39
LOGQ,ECO11622,7.04843,7.01271,7.33414,-inf,7.47700,Y,Y,Y,N,0.19191,0.00000,N,N,1,2
LOGZ,ECO11622,-0.18940,-0.32018,-0.05862,-0.41826,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,34
LOGQ,ECO11626,7.36986,7.15557,7.51271,7.01271,7.65557,Y,Y,N,N,0.03936,0.00000,N,N,2,11
LOGZ,ECO11626,0.13755,-0.02592,0.17025,-0.25479,0.23564,Y,Y,N,N,0.00000,0.00296,N,N,1,44
LOGQ,ECO11633,7.04843,7.01271,7.19129,-inf,7.33414,Y,Y,Y,N,0.33659,0.00000,N,N,1,2
LOGZ,ECO11633,-0.38557,-0.48365,-0.25479,-0.54904,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO11634,7.40557,7.33414,7.65557,7.26271,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO11634,-0.67982,-0.74521,-0.48365,-0.84330,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGQ,ECO11639,7.33414,7.26271,7.61986,7.15557,7.83414,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO11639,-0.64713,-0.71252,-0.38557,-0.77791,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO11643,7.19129,7.04843,7.40557,-inf,7.58414,Y,Y,N,N,0.11715,0.00000,N,N,1,6
LOGZ,ECO11643,0.10486,-0.05862,0.17025,-0.25479,0.23564,Y,Y,N,N,0.00000,0.00949,N,N,1,43
LOGQ,ECO11646,7.19129,7.04843,7.44129,-inf,7.79843,Y,Y,N,N,0.13880,0.00000,N,N,2,6
LOGZ,ECO11646,-0.02592,-0.15670,0.10486,-0.32018,0.20294,Y,Y,N,N,0.00000,0.00699,N,N,1,39
LOGQ,ECO11648,6.97700,7.01271,7.36986,-inf,7.51271,N,Y,Y,N,0.27760,0.00000,N,N,1,0
LOGZ,ECO11648,-0.05862,-0.41826,0.00677,-0.51635,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,2,38
LOGQ,ECO11652,6.97700,-inf,7.26271,-inf,7.40557,Y,Y,Y,N,0.34211,0.00000,N,N,1,0
LOGZ,ECO11652,-0.05862,-0.35287,-0.02592,-0.48365,0.07216,Y,Y,N,N,0.00000,0.00000,N,N,2,38
LOGQ,ECO11654,7.19129,7.04843,7.33414,-inf,7.47700,Y,Y,N,N,0.13085,0.00000,N,N,1,6
LOGZ,ECO11654,0.03947,-0.05862,0.10486,-0.22209,0.17025,Y,Y,N,N,0.00000,0.00024,N,N,1,41
LOGQ,ECO11660,7.01271,-inf,7.15557,-inf,7.22700,Y,Y,Y,N,0.47875,0.00000,N,N,1,1
LOGZ,ECO11660,-0.09131,-0.18940,-0.05862,-0.25479,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,ECO11661,7.26271,7.08414,7.44129,-inf,7.61986,Y,Y,N,N,0.07256,0.00000,N,N,1,8
LOGZ,ECO11661,0.13755,0.00677,0.20294,-0.18940,0.23564,Y,Y,N,N,0.00000,0.01604,N,N,1,44
LOGQ,ECO11662,7.11986,7.04843,7.26271,-inf,7.40557,Y,Y,N,N,0.10509,0.00000,N,N,1,4
