Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO11468,6.97700,7.01271,7.40557,-inf,7.79843,N,Y,Y,N,0.19036,0.00001,N,N,1,0
LOGZ,ECO11468,0.03947,-0.28748,0.17025,-0.41826,inf,Y,Y,N,N,0.00000,0.06389,N,N,2,41
AGNFRAC,ECO11471,0.00000,-inf,0.20408,-inf,0.51020,Y,Y,Y,N,0.35017,0.00062,N,N,1,0
LOGQ,ECO11471,6.97700,7.01271,7.47700,-inf,7.97700,N,Y,Y,N,0.23601,0.00009,N,N,2,0
LOGZ,ECO11471,-0.38557,-0.45096,0.07216,-0.51635,0.26833,Y,Y,N,N,0.00000,0.03260,N,N,2,28
AGNFRAC,ECO11474,0.08163,0.06122,0.48980,-inf,0.83673,Y,Y,N,N,0.09063,0.00479,N,N,1,4
LOGQ,ECO11474,7.22700,7.11986,7.44129,7.01271,7.79843,Y,Y,N,N,0.02841,0.00003,N,N,1,7
LOGZ,ECO11474,-0.54904,-0.61443,-0.35287,-0.67982,-0.09131,Y,Y,N,N,0.00000,0.00224,N,N,1,23
AGNFRAC,ECO11475,0.00000,0.02041,0.26531,-inf,0.57143,N,Y,Y,N,0.25453,0.00090,N,N,1,0
LOGQ,ECO11475,6.97700,-inf,7.33414,-inf,7.69129,Y,Y,Y,N,0.33067,0.00001,N,N,1,0
LOGZ,ECO11475,-0.51635,-0.58174,-0.22209,-0.64713,0.13755,Y,Y,N,N,0.00000,0.00959,N,N,2,24
AGNFRAC,ECO11479,0.00000,0.02041,0.26531,-inf,0.51020,N,Y,Y,N,0.27250,0.00059,N,N,1,0
LOGQ,ECO11479,6.97700,7.01271,7.69129,-inf,8.08414,N,Y,Y,N,0.22176,0.00020,N,N,2,0
LOGZ,ECO11479,-0.51635,-0.54904,0.10486,-0.64713,inf,Y,Y,N,N,0.00000,0.05208,N,N,3,24
AGNFRAC,ECO11484,0.00000,-inf,0.20408,-inf,0.48980,Y,Y,Y,N,0.34928,0.00054,N,N,1,0
LOGQ,ECO11484,7.22700,7.08414,7.65557,-inf,8.11986,Y,Y,N,N,0.08781,0.00031,N,N,2,7
LOGZ,ECO11484,0.10486,-0.09131,0.26833,-0.32018,inf,Y,Y,N,N,0.00000,0.16496,N,N,2,43
AGNFRAC,ECO11489,0.00000,-inf,0.16327,-inf,0.32653,Y,Y,Y,N,0.37241,0.00013,N,N,1,0
LOGQ,ECO11489,7.26271,7.08414,7.47700,-inf,7.79843,Y,Y,N,N,0.07345,0.00001,N,N,1,8
LOGZ,ECO11489,0.13755,-0.02592,0.26833,-0.28748,inf,Y,Y,N,N,0.00000,0.17853,N,N,2,44
