Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO02034,7.20745,7.15704,7.34428,7.09223,7.50272,Y,Y,N,N,0.00000,0.00000,N,N,2,32
LOGZ,ECO02034,8.11825,8.05233,8.26330,7.97980,8.40175,Y,Y,N,N,0.00000,0.00000,N,N,1,100
LOGQ,ECO02035,7.37309,7.32268,7.48832,7.27227,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,ECO02035,8.23693,8.13803,8.34241,8.05892,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02036,7.45231,7.38749,7.63955,7.31548,7.87000,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,ECO02036,8.18418,8.11825,8.33582,8.04573,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGQ,ECO02037,7.27947,7.21465,7.39470,7.14984,7.55313,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,ECO02037,8.23693,8.16440,8.35560,8.09188,8.48745,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO02038,7.34428,7.22186,7.48832,7.12823,7.61074,Y,Y,N,N,0.00001,0.00000,N,N,1,51
LOGZ,ECO02038,8.40834,8.32263,8.52701,8.23033,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,144
LOGQ,ECO02039,7.25066,7.17865,7.42350,7.09943,7.72597,Y,Y,N,N,0.00002,0.00000,N,N,1,38
LOGZ,ECO02039,8.12485,8.05233,8.28307,7.97321,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,101
LOGQ,ECO02040,7.38029,7.32988,7.51712,7.26507,7.66836,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,ECO02040,8.15122,8.09188,8.28967,8.01936,8.42812,Y,Y,N,N,0.00000,0.00000,N,N,1,105
LOGQ,ECO02041,7.42350,7.37309,7.58914,7.30828,7.77638,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,ECO02041,8.17759,8.09848,8.31604,8.02595,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,109
LOGQ,ECO02042,7.43070,7.37309,7.59634,7.30107,7.79079,Y,Y,N,N,0.00000,0.00000,N,N,1,63
LOGZ,ECO02042,8.06551,8.01277,8.22374,7.94025,8.38856,Y,Y,N,N,0.00000,0.00000,N,N,2,92
LOGQ,ECO02044,7.02021,7.00581,7.22906,-inf,7.50272,Y,Y,N,N,0.06279,0.00000,N,N,1,6
LOGZ,ECO02044,8.33582,8.26330,8.48745,8.19737,8.71820,Y,Y,N,N,0.00000,0.00000,N,N,2,133
LOGQ,ECO02045,7.16424,7.09223,7.35869,7.02021,7.78358,Y,Y,N,N,0.00335,0.00001,N,N,1,26
