Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oi6300,ECO00021,Y,-0.22967,0.04929,-2.42629,-1.99760
nii6548,ECO00021,Y,0.22208,0.16226,1.59127,5.90714
halpha,ECO00021,Y,2.86000,2.79613,0.41151,18.42728
nii6584,ECO00021,Y,0.66429,0.47831,1.64011,5.85813
sii6717,ECO00021,Y,0.93045,0.45634,3.77589,7.41027
sii6731,ECO00021,Y,0.42351,0.34621,0.54353,2.97789
hbeta,ECO00022,Y,1.00000,1.00000,0.00000,15.46465
oiii4959,ECO00022,Y,0.42903,0.27777,2.43272,6.90030
oiii5007,ECO00022,Y,0.76920,0.82874,-0.93184,12.03833
oi6300,ECO00022,Y,0.13425,0.07275,1.47930,3.22882
nii6548,ECO00022,Y,0.12780,0.13917,-0.87126,9.79302
halpha,ECO00022,Y,2.86000,2.80602,0.87615,46.42352
nii6584,ECO00022,Y,0.38405,0.41025,-0.66564,9.75651
sii6717,ECO00022,Y,0.66229,0.55643,2.40188,15.02664
sii6731,ECO00022,Y,0.61388,0.42287,3.45602,11.10756
hbeta,ECO00023,Y,1.00000,1.00000,0.00000,22.24437
oiii4959,ECO00023,Y,0.58633,0.47049,2.94056,14.88422
oiii5007,ECO00023,Y,1.86640,1.40374,8.36080,33.72775
oi6300,ECO00023,Y,0.12585,0.05545,2.93909,5.25401
nii6548,ECO00023,Y,0.09971,0.12002,-2.68358,13.17154
halpha,ECO00023,Y,2.86000,2.80208,1.22742,60.60393
nii6584,ECO00023,Y,0.30059,0.35380,-2.33024,13.16491
sii6717,ECO00023,Y,0.51544,0.44769,2.46274,18.73546
sii6731,ECO00023,Y,0.43097,0.34048,2.61892,12.47239
hbeta,ECO00024,Y,1.00000,1.00000,0.00000,8.92872
oiii4959,ECO00024,Y,0.75399,0.54569,2.11746,7.66477
oiii5007,ECO00024,Y,1.86680,1.62812,2.03244,15.89597
oi6300,ECO00024,Y,0.15769,0.05243,1.75353,2.62698
nii6548,ECO00024,Y,0.10028,0.11759,-0.94865,5.49836
halpha,ECO00024,Y,2.86000,2.80009,0.66627,31.80475
nii6584,ECO00024,Y,0.30274,0.34662,-0.79757,5.50312
sii6717,ECO00024,Y,0.57658,0.43014,1.61670,6.36538
sii6731,ECO00024,Y,0.46510,0.32712,1.99233,6.71563
hbeta,ECO00025,Y,1.00000,1.00000,0.00000,20.79848
oiii4959,ECO00025,Y,0.67160,0.55112,2.48643,13.86032
