Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00210,7.04840,-inf,7.22697,-inf,7.40554,Y,Y,Y,N,0.35188,0.00000,N,N,1,2
LOGZ,ECO00210,-0.61443,-0.67982,-0.48365,-0.74521,-0.32018,Y,Y,N,N,0.00000,0.00027,N,N,2,21
AGNFRAC,ECO00213,0.32653,0.16327,0.79592,0.02041,0.97959,Y,Y,N,N,0.03580,0.02612,N,N,1,16
LOGQ,ECO00213,7.22697,7.15554,7.40554,7.04840,7.65554,Y,Y,N,N,0.00740,0.00012,N,N,1,7
LOGZ,ECO00213,-0.77791,-0.84330,-0.61443,-0.90869,-0.48365,Y,Y,N,N,0.00000,0.00024,N,N,2,16
AGNFRAC,ECO00220,0.24490,0.12245,0.69388,0.02041,0.93878,Y,Y,N,N,0.04621,0.01403,N,N,1,12
LOGQ,ECO00220,7.33411,7.26268,7.58411,7.15554,7.94126,Y,Y,N,N,0.00011,0.00046,N,N,1,10
LOGZ,ECO00220,-0.74521,-0.81060,-0.58174,-0.87599,-0.41826,Y,Y,N,N,0.00000,0.00012,N,N,2,17
AGNFRAC,ECO00231,0.00000,0.04082,0.51020,-inf,0.87755,N,Y,Y,N,0.15333,0.00743,N,N,1,0
LOGQ,ECO00231,8.29840,7.54840,8.54840,7.01268,8.69126,Y,Y,N,N,0.03780,0.05152,N,N,3,37
LOGZ,ECO00231,0.30103,-0.15670,inf,-0.38557,inf,Y,Y,N,Y,0.00000,0.31618,N,N,2,49
AGNFRAC,ECO00237,0.24490,0.10204,0.65306,-inf,0.91837,Y,Y,N,N,0.05557,0.01000,N,N,1,12
LOGQ,ECO00237,7.94126,7.83411,8.33411,7.69126,8.61983,Y,Y,N,N,0.00000,0.01482,N,N,1,27
LOGZ,ECO00237,-0.84330,-0.90869,-0.64713,-0.97408,-0.48365,Y,Y,N,N,0.00000,0.00000,N,N,1,14
AGNFRAC,ECO00242,0.22449,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05399,0.01547,N,N,1,11
LOGQ,ECO00242,7.72697,7.61983,8.01268,7.47697,8.40554,Y,Y,N,N,0.00000,0.00310,N,N,1,21
LOGZ,ECO00242,-0.87599,-0.94138,-0.67982,-1.00677,-0.48365,Y,Y,N,N,0.00000,0.00000,N,N,2,13
AGNFRAC,ECO00253,0.04082,0.08163,0.61224,-inf,0.89796,N,Y,Y,N,0.07752,0.00848,N,N,1,2
LOGQ,ECO00253,7.90554,7.79840,8.26268,7.65554,8.58411,Y,Y,N,N,0.00000,0.01050,N,N,1,26
LOGZ,ECO00253,-0.87599,-0.94138,-0.67982,-1.00677,-0.48365,Y,Y,N,N,0.00000,0.00000,N,N,1,13
AGNFRAC,ECO00255,0.00000,0.04082,0.46939,-inf,0.83673,N,Y,Y,N,0.12023,0.00477,N,N,1,0
LOGQ,ECO00255,7.54840,7.44126,7.97697,7.33411,8.51268,Y,Y,N,N,0.00000,0.00618,N,N,1,16
LOGZ,ECO00255,-0.71252,-0.81060,-0.51635,-0.87599,-0.22209,Y,Y,N,N,0.00000,0.00005,N,N,2,18
AGNFRAC,ECO00257,0.32653,0.14286,0.77551,0.02041,0.95918,Y,Y,N,N,0.04109,0.02443,N,N,1,16
LOGQ,ECO00257,7.08411,7.01268,7.26268,-inf,7.44126,Y,Y,N,N,0.19167,0.00001,N,N,1,3
LOGZ,ECO00257,-0.64713,-0.74521,-0.51635,-0.81060,-0.38557,Y,Y,N,N,0.00000,0.00033,N,N,2,20
AGNFRAC,ECO00289,0.26531,0.12245,0.75510,0.02041,0.95918,Y,Y,N,N,0.04799,0.02213,N,N,2,13
LOGQ,ECO00289,6.97697,-inf,7.15554,-inf,7.29840,Y,Y,Y,N,0.57750,0.00000,Y,N,1,0
LOGZ,ECO00289,-0.67982,-0.74521,-0.54904,-0.84330,-0.41826,Y,Y,N,N,0.00000,0.00013,N,N,2,19
AGNFRAC,ECO00297,0.26531,0.12245,0.75510,0.02041,0.95918,Y,Y,N,N,0.04272,0.02052,N,N,1,13
LOGQ,ECO00297,7.08411,7.01268,7.26268,-inf,7.44126,Y,Y,N,N,0.20296,0.00001,N,N,1,3
LOGZ,ECO00297,-0.77791,-0.87599,-0.64713,-0.90869,-0.54904,Y,Y,N,N,0.00000,0.00003,N,N,2,16
AGNFRAC,ECO00299,0.38776,0.18367,0.79592,0.04082,0.97959,Y,Y,N,N,0.02459,0.02598,N,N,1,19
LOGQ,ECO00299,7.26268,7.19126,7.47697,7.08411,7.69126,Y,Y,N,N,0.00207,0.00005,N,N,1,8
LOGZ,ECO00299,-0.77791,-0.84330,-0.61443,-0.90869,-0.48365,Y,Y,N,N,0.00000,0.00008,N,N,2,16
AGNFRAC,ECO00302,0.00000,0.10204,0.67347,-inf,0.93878,N,Y,Y,N,0.06409,0.01423,N,N,1,0
LOGQ,ECO00302,7.11983,7.04840,7.29840,-inf,7.54840,Y,Y,N,N,0.13005,0.00007,N,N,1,4
LOGZ,ECO00302,-0.64713,-0.71252,-0.51635,-0.77791,-0.35287,Y,Y,N,N,0.00000,0.00072,N,N,2,20
AGNFRAC,ECO00315,0.18367,0.12245,0.73469,-inf,0.95918,Y,Y,N,N,0.05115,0.02038,N,N,1,9
LOGQ,ECO00315,7.08411,7.01268,7.26268,-inf,7.47697,Y,Y,N,N,0.16185,0.00003,N,N,1,3
LOGZ,ECO00315,-0.81060,-0.90869,-0.67982,-0.97408,-0.58174,Y,Y,N,N,0.00000,0.00004,N,N,2,15
AGNFRAC,ECO00321,0.36735,0.16327,0.77551,0.02041,0.95918,Y,Y,N,N,0.03414,0.02218,N,N,1,18
LOGQ,ECO00321,7.11983,7.04840,7.26268,-inf,7.47697,Y,Y,N,N,0.14689,0.00000,N,N,1,4
LOGZ,ECO00321,-0.67982,-0.74521,-0.54904,-0.81060,-0.41826,Y,Y,N,N,0.00000,0.00009,N,N,2,19
AGNFRAC,ECO00322,0.00000,0.06122,0.55102,-inf,0.87755,N,Y,Y,N,0.10020,0.00706,N,N,1,0
LOGQ,ECO00322,7.44126,7.33411,7.72697,7.22697,8.22697,Y,Y,N,N,0.00001,0.00195,N,N,1,13
LOGZ,ECO00322,-0.74521,-0.84330,-0.58174,-0.90869,-0.28748,Y,Y,N,N,0.00000,0.00008,N,N,2,17
AGNFRAC,ECO00332,0.48980,0.20408,0.83673,0.02041,0.97959,Y,Y,N,N,0.02694,0.03361,N,N,1,24
LOGQ,ECO00332,7.47697,7.36983,7.72697,7.29840,7.97697,Y,Y,N,N,0.00000,0.00020,N,N,1,14
LOGZ,ECO00332,-0.97408,-1.03947,-0.81060,-1.13755,-0.67982,Y,Y,N,N,0.00001,0.00000,N,N,2,10
AGNFRAC,ECO00336,0.34694,0.16327,0.77551,0.02041,0.95918,Y,Y,N,N,0.03347,0.02308,N,N,1,17
LOGQ,ECO00336,7.15554,7.04840,7.29840,7.01268,7.51268,Y,Y,N,N,0.07618,0.00001,N,N,1,5
LOGZ,ECO00336,-0.71252,-0.81060,-0.58174,-0.87599,-0.45096,Y,Y,N,N,0.00000,0.00009,N,N,2,18
