Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
nii6548,ECO00022,Y,0.12780,0.11371,1.07988,9.79302
halpha,ECO00022,Y,2.86000,2.80002,0.97362,46.42352
nii6584,ECO00022,Y,0.38405,0.33521,1.24074,9.75651
sii6717,ECO00022,Y,0.66229,0.63861,0.53734,15.02664
sii6731,ECO00022,Y,0.61388,0.48502,2.33153,11.10756
hbeta,ECO00023,Y,1.00000,1.00000,0.00000,22.24437
oiii4959,ECO00023,Y,0.58633,0.46679,3.03451,14.88422
oiii5007,ECO00023,Y,1.86640,1.39272,8.55985,33.72775
oi6300,ECO00023,Y,0.12585,0.05944,2.77248,5.25401
nii6548,ECO00023,Y,0.09971,0.09306,0.87871,13.17154
halpha,ECO00023,Y,2.86000,2.79781,1.31773,60.60393
nii6584,ECO00023,Y,0.30059,0.27432,1.15063,13.16491
sii6717,ECO00023,Y,0.51544,0.50338,0.43830,18.73546
sii6731,ECO00023,Y,0.43097,0.38247,1.40378,12.47239
hbeta,ECO00024,Y,1.00000,1.00000,0.00000,8.92872
oiii4959,ECO00024,Y,0.75399,0.54355,2.13929,7.66477
oiii5007,ECO00024,Y,1.86680,1.62173,2.08678,15.89597
oi6300,ECO00024,Y,0.15769,0.05646,1.68645,2.62698
nii6548,ECO00024,Y,0.10028,0.09625,0.22120,5.49836
halpha,ECO00024,Y,2.86000,2.79608,0.71086,31.80475
nii6584,ECO00024,Y,0.30274,0.28373,0.34552,5.50312
sii6717,ECO00024,Y,0.57658,0.49158,0.93836,6.36538
sii6731,ECO00024,Y,0.46510,0.37338,1.32435,6.71563
hbeta,ECO00025,Y,1.00000,1.00000,0.00000,20.79848
oiii4959,ECO00025,Y,0.67160,0.59763,1.52669,13.86032
oiii5007,ECO00025,Y,1.93463,1.78307,2.59784,33.16101
oi6300,ECO00025,Y,0.01406,0.04914,-1.22498,0.49095
nii6548,ECO00025,Y,0.08309,0.07239,1.27795,9.91835
halpha,ECO00025,Y,2.86000,2.79713,1.25562,57.11636
nii6584,ECO00025,Y,0.25039,0.21338,1.46459,9.90910
sii6717,ECO00025,Y,0.48919,0.41416,2.56915,16.75123
sii6731,ECO00025,Y,0.33013,0.31480,0.53922,11.61231
hbeta,ECO00027,Y,1.00000,1.00000,0.00000,89.36299
oiii4959,ECO00027,Y,0.88834,0.65826,21.41142,82.66893
oiii5007,ECO00027,Y,2.67665,1.96395,35.86882,134.71012
oi6300,ECO00027,Y,0.08201,0.04475,7.51380,16.53625
nii6548,ECO00027,Y,0.07055,0.06401,3.71738,40.07881
